trial,model_type,hidden_channels,num_layers,lr,batch_size,epochs,early_stopping,dropout,val_loss
1,GIN,64,4,0.0001,8,1000,30,0.2,82.63666442871094
2,GIN,64,4,0.0001,8,1000,30,0.5,93.10747100830078
3,GAT,64,4,0.0001,8,1000,30,0.2,90.81051483154297
4,GAT,64,4,0.0001,8,1000,30,0.5,90.79752593994141
5,GIN,64,4,0.0001,16,1000,30,0.2,80.66542724609376
6,GIN,64,4,0.0001,16,1000,30,0.5,80.45248596191406
7,GAT,64,4,0.0001,16,1000,30,0.2,90.75904815673829
8,GAT,64,4,0.0001,16,1000,30,0.5,90.79894256591797
9,GIN,64,4,0.0001,32,1000,30,0.2,78.1566537475586
10,GIN,64,4,0.0001,32,1000,30,0.5,79.19083374023438
11,GAT,64,4,0.0001,32,1000,30,0.2,90.80589965820313
12,GAT,64,4,0.0001,32,1000,30,0.5,90.83175354003906
13,GIN,64,4,0.0003,8,1000,30,0.2,106.03993377685546
14,GIN,64,4,0.0003,8,1000,30,0.5,110.47961761474609
15,GAT,64,4,0.0003,8,1000,30,0.2,70.05108871459962
16,GAT,64,4,0.0003,8,1000,30,0.5,90.77964416503906
17,GIN,64,4,0.0003,16,1000,30,0.2,81.03072113037109
18,GIN,64,4,0.0003,16,1000,30,0.5,83.26042663574219
19,GAT,64,4,0.0003,16,1000,30,0.2,70.31739776611329
20,GAT,64,4,0.0003,16,1000,30,0.5,90.76163940429687
21,GIN,64,4,0.0003,32,1000,30,0.2,76.93543701171875
22,GIN,64,4,0.0003,32,1000,30,0.5,79.18680572509766
23,GAT,64,4,0.0003,32,1000,30,0.2,70.3489111328125
24,GAT,64,4,0.0003,32,1000,30,0.5,90.77582885742187
25,GIN,64,4,0.001,8,1000,30,0.2,83.17814361572266
26,GIN,64,4,0.001,8,1000,30,0.5,113.04787536621093
27,GAT,64,4,0.001,8,1000,30,0.2,70.31966201782227
28,GAT,64,4,0.001,8,1000,30,0.5,90.91558685302735
29,GIN,64,4,0.001,16,1000,30,0.2,82.03650634765626
30,GIN,64,4,0.001,16,1000,30,0.5,85.20579010009766
31,GAT,64,4,0.001,16,1000,30,0.2,90.74606018066406
32,GAT,64,4,0.001,16,1000,30,0.5,90.72994934082031
33,GIN,64,4,0.001,32,1000,30,0.2,75.82402465820313
34,GIN,64,4,0.001,32,1000,30,0.5,75.79527282714844
35,GAT,64,4,0.001,32,1000,30,0.2,70.04790679931641
36,GAT,64,4,0.001,32,1000,30,0.5,90.76540588378906
37,GIN,64,5,0.0001,8,1000,30,0.2,94.79408935546876
38,GIN,64,5,0.0001,8,1000,30,0.5,95.14776672363281
39,GAT,64,5,0.0001,8,1000,30,0.2,90.82290924072265
40,GAT,64,5,0.0001,8,1000,30,0.5,90.91510650634766
41,GIN,64,5,0.0001,16,1000,30,0.2,81.06248565673827
42,GIN,64,5,0.0001,16,1000,30,0.5,79.57692443847657
43,GAT,64,5,0.0001,16,1000,30,0.2,90.78058715820312
44,GAT,64,5,0.0001,16,1000,30,0.5,90.86903259277344
45,GIN,64,5,0.0001,32,1000,30,0.2,81.22577728271484
46,GIN,64,5,0.0001,32,1000,30,0.5,81.41493225097656
47,GAT,64,5,0.0001,32,1000,30,0.2,90.81698486328125
48,GAT,64,5,0.0001,32,1000,30,0.5,90.90054443359375
49,GIN,64,5,0.0003,8,1000,30,0.2,109.90019775390626
50,GIN,64,5,0.0003,8,1000,30,0.5,135.65997528076173
51,GAT,64,5,0.0003,8,1000,30,0.2,90.76536560058594
52,GAT,64,5,0.0003,8,1000,30,0.5,90.78344940185546
53,GIN,64,5,0.0003,16,1000,30,0.2,81.0417138671875
54,GIN,64,5,0.0003,16,1000,30,0.5,84.07952819824219
55,GAT,64,5,0.0003,16,1000,30,0.2,90.80218170166016
56,GAT,64,5,0.0003,16,1000,30,0.5,90.82824157714843
57,GIN,64,5,0.0003,32,1000,30,0.2,75.93806427001954
58,GIN,64,5,0.0003,32,1000,30,0.5,78.98359375
59,GAT,64,5,0.0003,32,1000,30,0.2,90.82402648925782
60,GAT,64,5,0.0003,32,1000,30,0.5,90.83928955078125
61,GIN,64,5,0.001,8,1000,30,0.2,112.23735290527344
62,GIN,64,5,0.001,8,1000,30,0.5,94.91420654296876
63,GAT,64,5,0.001,8,1000,30,0.2,69.48089752197265
64,GAT,64,5,0.001,8,1000,30,0.5,90.84917663574218
65,GIN,64,5,0.001,16,1000,30,0.2,87.83731079101562
66,GIN,64,5,0.001,16,1000,30,0.5,88.52662902832031
67,GAT,64,5,0.001,16,1000,30,0.2,85.41705871582032
68,GAT,64,5,0.001,16,1000,30,0.5,90.82970275878907
69,GIN,64,5,0.001,32,1000,30,0.2,76.39754638671874
70,GIN,64,5,0.001,32,1000,30,0.5,77.30529327392578
71,GAT,64,5,0.001,32,1000,30,0.2,90.83091857910156
72,GAT,64,5,0.001,32,1000,30,0.5,90.80165100097656
73,GIN,64,6,0.0001,8,1000,30,0.2,102.51494232177734
74,GIN,64,6,0.0001,8,1000,30,0.5,86.60001861572266
75,GAT,64,6,0.0001,8,1000,30,0.2,90.7929556274414
76,GAT,64,6,0.0001,8,1000,30,0.5,90.8541909790039
77,GIN,64,6,0.0001,16,1000,30,0.2,86.83988830566406
78,GIN,64,6,0.0001,16,1000,30,0.5,81.0640786743164
79,GAT,64,6,0.0001,16,1000,30,0.2,90.83352844238281
80,GAT,64,6,0.0001,16,1000,30,0.5,90.9052734375
81,GIN,64,6,0.0001,32,1000,30,0.2,83.72961853027344
82,GIN,64,6,0.0001,32,1000,30,0.5,85.70565979003906
83,GAT,64,6,0.0001,32,1000,30,0.2,90.82767974853516
84,GAT,64,6,0.0001,32,1000,30,0.5,90.84416076660156
85,GIN,64,6,0.0003,8,1000,30,0.2,90.84037658691406
86,GIN,64,6,0.0003,8,1000,30,0.5,164.38985748291014
87,GAT,64,6,0.0003,8,1000,30,0.2,90.79648864746093
88,GAT,64,6,0.0003,8,1000,30,0.5,90.84337249755859
89,GIN,64,6,0.0003,16,1000,30,0.2,82.97894226074219
90,GIN,64,6,0.0003,16,1000,30,0.5,80.45362670898437
91,GAT,64,6,0.0003,16,1000,30,0.2,90.80516448974609
92,GAT,64,6,0.0003,16,1000,30,0.5,90.85954528808594
93,GIN,64,6,0.0003,32,1000,30,0.2,78.21481842041015
94,GIN,64,6,0.0003,32,1000,30,0.5,80.15998413085937
95,GAT,64,6,0.0003,32,1000,30,0.2,90.829384765625
96,GAT,64,6,0.0003,32,1000,30,0.5,90.83897033691406
97,GIN,64,6,0.001,8,1000,30,0.2,98.60516510009765
98,GIN,64,6,0.001,8,1000,30,0.5,123.79646423339844
99,GAT,64,6,0.001,8,1000,30,0.2,90.83340057373047
100,GAT,64,6,0.001,8,1000,30,0.5,90.79928466796875
101,GIN,64,6,0.001,16,1000,30,0.2,80.75850708007812
102,GIN,64,6,0.001,16,1000,30,0.5,81.20405853271484
103,GAT,64,6,0.001,16,1000,30,0.2,90.84696472167968
104,GAT,64,6,0.001,16,1000,30,0.5,90.95361236572266
105,GIN,64,6,0.001,32,1000,30,0.2,79.1645428466797
106,GIN,64,6,0.001,32,1000,30,0.5,79.28799133300781
107,GAT,64,6,0.001,32,1000,30,0.2,90.79765930175782
108,GAT,64,6,0.001,32,1000,30,0.5,90.87052978515625
109,GIN,128,4,0.0001,8,1000,30,0.2,109.63967987060546
110,GIN,128,4,0.0001,8,1000,30,0.5,106.92484832763672
111,GAT,128,4,0.0001,8,1000,30,0.2,73.72113403320313
112,GAT,128,4,0.0001,8,1000,30,0.5,90.74830017089843
113,GIN,128,4,0.0001,16,1000,30,0.2,83.88578887939452
114,GIN,128,4,0.0001,16,1000,30,0.5,80.19429962158203
115,GAT,128,4,0.0001,16,1000,30,0.2,90.77059814453125
116,GAT,128,4,0.0001,16,1000,30,0.5,90.76785888671876
117,GIN,128,4,0.0001,32,1000,30,0.2,79.49370422363282
118,GIN,128,4,0.0001,32,1000,30,0.5,77.44845306396485
119,GAT,128,4,0.0001,32,1000,30,0.2,88.89813598632813
120,GAT,128,4,0.0001,32,1000,30,0.5,90.84343688964844
121,GIN,128,4,0.0003,8,1000,30,0.2,107.48432220458984
122,GIN,128,4,0.0003,8,1000,30,0.5,128.42481842041016
123,GAT,128,4,0.0003,8,1000,30,0.2,69.53505889892578
124,GAT,128,4,0.0003,8,1000,30,0.5,90.79858642578125
