trial,model_type,hidden_channels,num_layers,lr,batch_size,epochs,early_stopping,dropout,val_loss
1,GSAGE,64,4,0.001,8,150,30,0.0,68.93976150512695
2,GSAGE,64,4,0.001,8,150,30,0.2,68.5793670654297
3,GSAGE,64,4,0.001,8,150,30,0.5,68.80759506225586
4,GSAGE,64,4,0.001,16,150,30,0.0,68.81819580078125
5,GSAGE,64,4,0.001,16,150,30,0.2,69.03118041992188
6,GSAGE,64,4,0.001,16,150,30,0.5,68.82695922851562
7,GSAGE,64,4,0.001,32,150,30,0.0,69.07951354980469
8,GSAGE,64,4,0.001,32,150,30,0.2,69.07833679199219
9,GSAGE,64,4,0.001,32,150,30,0.5,69.02696838378907
10,GSAGE,64,4,0.0001,8,150,30,0.0,69.64056030273437
11,GSAGE,64,4,0.0001,8,150,30,0.2,69.51499160766602
12,GSAGE,64,4,0.0001,8,150,30,0.5,69.8021775817871
13,GSAGE,64,4,0.0001,16,150,30,0.0,70.04140045166015
14,GSAGE,64,4,0.0001,16,150,30,0.2,70.04403015136718
15,GSAGE,64,4,0.0001,16,150,30,0.5,70.11785247802734
16,GSAGE,64,4,0.0001,32,150,30,0.0,69.91063598632813
17,GSAGE,64,4,0.0001,32,150,30,0.2,70.17331665039063
18,GSAGE,64,4,0.0001,32,150,30,0.5,69.85166564941406
10,GSAGE,128,4,0.001,8,150,30,0.2,68.64746551513672
11,GSAGE,128,4,0.001,16,150,30,0.2,68.66630340576172
12,GSAGE,128,4,0.001,32,150,30,0.2,69.16144287109375
13,GSAGE,128,5,0.001,8,150,30,0.2,67.33262466430664
14,GSAGE,128,5,0.001,16,150,30,0.2,67.4327670288086
15,GSAGE,128,5,0.001,32,150,30,0.2,68.06526489257813
16,GSAGE,128,6,0.001,8,150,30,0.2,66.81578369140625
17,GSAGE,128,6,0.001,16,150,30,0.2,66.9322998046875
18,GSAGE,128,6,0.001,32,150,30,0.2,67.36089538574218
19,GSAGE,256,4,0.001,8,150,30,0.2,68.72398681640625
20,GSAGE,256,4,0.001,16,150,30,0.2,68.81189727783203
21,GSAGE,256,4,0.001,32,150,30,0.2,68.81936431884766
22,GSAGE,256,5,0.001,8,150,30,0.2,67.26246170043946
23,GSAGE,256,5,0.001,16,150,30,0.2,67.32353302001952
24,GSAGE,256,5,0.001,32,150,30,0.2,67.522958984375
25,GSAGE,256,6,0.001,8,150,30,0.2,66.72032440185546
26,GSAGE,256,6,0.001,16,150,30,0.2,66.76756454467774
27,GSAGE,256,6,0.001,32,150,30,0.2,66.99152984619141

